id,name,type,cost,bp,sp,ability,description,faction,illustrator,imageUrl,color,rarity,cardNumber,colorBalance,colorCost,colorlessCost,effectType,pack,traits,effect,flavorText
BT1-1,アクアノーヴァの元飼い猫,ユニット,2,2000,1000,【登場時】ターン終了まで、自分のユニット1体をBP+1000。,自由になった飼い猫は主も探さずのんびりとしている。,アクアノーヴァ/アニマル,株式会社アイラボ,/card-images/1.png,blue,C,BT1-1,青1,1,1,BP＋,次元の訪問者,,,
BT1-2,式神・クラゲ,ユニット,2,2000,1000,,クラゲを模した形代で召喚した式神。大量に召喚し、数で圧倒することができる。,セイドウ/式神,モト,/card-images/2.png,blue,C,BT1-2,-,0,2,,次元の訪問者,,,
BT1-3,式神・ベタ,ユニット,2,2000,1000,,ベタを模した形代で召喚した式神。空中を高速で移動する。,セイドウ/式神,株式会社アイラボ,/card-images/3.png,blue,C,BT1-3,-,0,2,,次元の訪問者,,,
BT1-4,メタモル,ユニット,2,4000,-,,メタモルはどんな環境にも適応する、原始の力を秘めた不定形生命体。,アクアノーヴァ/メタモル,モト,/card-images/4.png,blue,C,BT1-4,青1,1,1,,次元の訪問者,,,
BT1-5,リーリー,ユニット,2,2000,2000,,プロローグ①:物語のはじまりは、とある儀式。,リーリー/CNP,モト,/card-images/5.png,blue,C,BT1-5,青1,1,1,,次元の訪問者,,,
BT1-6,ルナ,ユニット,2,3000,1000,,プロローグ②:CNPたちには、三種の神器を儀式場まで届けるという大切な任務が託された。,ルナ/CNP,モト,/card-images/6.png,blue,C,BT1-6,青1,1,1,,次元の訪問者,,,
BT1-7,カイスイメタモル,ユニット,3,2000,-,【登場時】≪1ドロー≫（デッキからカードを1枚引く）,海水を取り込んだメタモル。稀に知性を持った個体も誕生するらしく、それらは『ハイメタモル』と呼ばれている。,アクアノーヴァ/メタモル,モト,/card-images/7.png,blue,R,BT1-7,青2,2,1,デッキドロー,次元の訪問者,,,
BT1-8,食事する海賊,ユニット,3,4000,1000,,セイドウの圧政から逃れるためアクアノーヴァの人々が結束して誕生した組織が「海賊」である。,アクアノーヴァ/海賊,モト,/card-images/8.png,blue,C,BT1-8,青1,1,2,,次元の訪問者,,,
BT1-9,魚人の市民,ユニット,3,4000,1000,,セイドウの支配下では魚人たちは強制労働に就かされ苦しめられている。,アクアノーヴァ/魚人,竜弥,/card-images/9.png,blue,C,BT1-9,青1,1,2,,次元の訪問者,,,
BT1-10,式神・リュウグウノツカイ,ユニット,3,2000,1000,【登場時】コスト2以下の相手のユニット1体を退場させる。,リュウグウノツカイを模した形代で召喚した式神。市民たちが反乱を起こさないように監視している。,セイドウ/式神,株式会社アイラボ,/card-images/10.png,blue,R,BT1-10,青2,0,3,ユニット退場,次元の訪問者,,,
BT1-11,ミカヅキ,ユニット,3,2000,1000,【自分のターン】特徴に「セイドウ」を持つ自分のユニット全てをBP+2000。,テンシュの腹心。神器の力によって顕現させた「式神・テンゲイ」を用いてアクアノーヴァを支配した。,セイドウ/ミカヅキ,コメスケ,/card-images/11.png,blue,R,BT1-11,青1,1,2,BP＋,次元の訪問者,,,
BT1-12,レイキ結合体:海水,ユニット,3,6000,-,【登場時】自分のレイキ1枚をレイキデッキの下に戻す。,生まれるべきではなかった存在。,レイキ結合体,株式会社アイラボ,/card-images/12.png,blue,C,BT1-12,青1,1,2,レイキ操作,次元の訪問者,,,
BT1-13,遊泳するアクアペンギン,ユニット,4,5000,1000,,アクアノーヴァに住んでいる知性を持ったペンギン。 腕っぷしが強い。,アクアノーヴァ/アクアペンギン,だがあ,/card-images/13.png,blue,C,BT1-13,青1,1,3,,次元の訪問者,,,
BT1-14,ギャラクシー,ユニット,4,3000,1000,【退場時】≪1ドロー≫（デッキからカードを1枚引く）,星々の力を身に纏ったルナの姿。,ルナ/CNP,モト,/card-images/14.png,blue,RR,BT1-14,青2,2,2,デッキドロー,次元の訪問者,,,
BT1-15,リーリー,ユニット,4,4000,2000,【アタック時】コスト2以下の相手のユニット1体を退場させる。 【自分のターン】このユニットをBP+2000。,パンダのリーリーはCNPの人気者。おっとりしているが、いざとなると巨大化して仲間を守る頼もしさも持っている。,リーリー/CNP,コメスケ,/card-images/15.png,blue,RRR,BT1-15,青3,3,1,ユニット退場;BP＋,次元の訪問者,,,
BT1-16,アクアペンギンの長 ニヴェルト,ユニット,5,5000,1000,【アタック時】ターン終了まで、自分のユニット1体をBP+2000。,海賊の一員でもあるアクアペンギンの族長。 リーリーたちに協力を求め、海賊のアジトへと導く。,アクアノーヴァ/アクアペンギン/海賊,株式会社アイラボ,/card-images/16.png,blue,R,BT1-16,青1,1,4,BP＋,次元の訪問者,,,
BT1-17,海水,ユニット,6,7000,1000,,パンダのリーリーは、海の姿にも変化できる特別な力を持っている。,リーリー/CNP,モト,/card-images/17.png,blue,R,BT1-17,青3,3,3,,次元の訪問者,,,
BT1-18,式神・テンゲイ,ユニット,7,6000,-,【登場時】自分の手札が4枚以下なら、≪2ドロー≫（デッキからカードを2枚引く）。,アクアノーヴァに伝わる水神を具現化した式神。天候を操作する能力により洪水を引き起こし、アクアノーヴァ制圧に最も貢献した。,セイドウ/式神,コメスケ,/card-images/18.png,blue,RR,BT1-18,青2,0,7,デッキドロー,次元の訪問者,,,
